ID,content
1449711,不喜欢励志片，不喜欢传记片==2星。可我还是有点感动，加1星。ps.电影里老美个个是好人，和谐得让人心慌，估计也是美国的主旋律影片，我心甘情愿接受美国的文化入侵。
1449711,itisallaboutdream.
1449711,细节很奇怪的电影励志神马对我无用了
1449711,一句话，好电影。
1449711,令人感动的是其他人对他的肯定和欣赏。
1449711,BurtMunro!!!這麼善良、達觀的機械天才老爺爺，如果他發生什麼不幸我肯定會哭。測速的時候發動機燙傷了他的腿，看了好難過。出租車司機差評！賣花姑娘差評！
1449711,人就是得不停地做梦。
1449711,光看老爷子的演技就可以了
1449711,一个人要是不去追求自己的梦想，那就跟蔬菜没什么区别。
1449711,多希望这个老头儿是我的朋友
1449711,荣耀只属于真正上场的人。
1449711,主人翁的执着乐观的正频率感染了遇到他的每一个人，也感染了我
1449711,感动另外里面的小男孩好萌好可爱^_^
1449711,老当益壮，老而弥坚
1449711,牛逼轰轰的老爷爷啊。。。
1449711,此宅甚猛
1449711,厉害了
1449711,Therewardisinthedoingofit.
1449711,乐观积极追寻梦想，固执得做自己。霍普金斯的演技没话说。
1449711,梦想是通往成功的桥梁，别再止步于纠结，跟随梦想的指引
1449711,被如此执着的老头子打动了
1449711,励志片的蓝本，全部设定都符合规则。可以作为模板用之。
1449711,偏执的人~
1449711,老头子感动死个人了！
1449711,一个人的电影。好看。让我想起我的好朋友John.同样是有点让人觉得不可思议的梦想，并且不顾一切的去实现，这样的风格反而强烈的吸引别人。
1449711,人皆有一死，要么等死，要么找死。AnthonyHopkins很适合演这种角色。有没有对你特别好的邻居https://www.bilibili.com/video/av55183667
1449711,不搜不知道原来这个老头真的是那个排量级里的世界纪录太牛逼了。。。安东尼霍普金斯这个角色完全本色出演啊
1449711,老爷爷的故事比任何年轻人的追梦行动都来的感人！
1449711,一踩到底不要刹车
1449711,眼镜，手表，睾丸，钱包，都带齐了，加油啊，老爷子，就看你的了
1449711,力荐！这真是一部好片！你的生命就应该如此度过，为了梦想而前进，坚持，永远不要放弃。绝不要说说而已。
1449711,一个老人，一个不死的心。奇迹是一个旅途的终点与开始，而在这旅途中，有很多需要与这位老人学习的，坚韧、隐忍、勇敢、无言。怀着信念与目的人，多是寡言的，因为他们很清楚自己在做什么。
1449711,好几次都以为他GAMEOVER了，真的很佩服他，坚持到了最后
1449711,真实窝心的一群暖人呐和一个可爱的实力派倔老头??
1449711,每个有摩托情节的都可以看看。人如果没有梦想，和蔬菜没有两样。
1449711,温情、倔强、克服一切困难完成梦想的美国老头儿的故事。你们懂的。俗套却感人。
1449711,当汉尼拔开车时
1449711,美国读者文摘的故事，加上主角光环，以及有点僵硬的脸。好了，整片看完了，我们写八百字的读后感吧。推荐给高中语文老师用。
1449711,励志！一个老人都可以这样子不放弃自己的梦想，我们还有什么理由不坚持梦想呢？
1449711,"励志的味道不是很重,倒不如说是一段有趣的旅程"
1449711,"Ifyoudon'tgowhenuwannagowhenudogo,youwillfindyouaregone."
1449711,温情幽默励志，这样的电影总是让人眼泪哗哗。那些动嘴皮子的人并不重要，他们只能看到别犯错，告诉别人如何改进，但荣耀只属于那些真正上场的人。最重要的是，这片子不告诉我是真实故事改编的我还当是一科幻片！
1449711,为老硬汉干杯
1449711,影帝就是影帝I'mBurtMunro
1449711,就是这么部简单而伟大的电影，霍普金斯宝刀未老
1449711,一个男人决定为了更快而不要命的时候，地球上没有人能阻止得了他
1449711,终生梦想面临挫折还能笑着解决继续前进才是真的正能量。
1449711,看的时候大感动。老家伙演得真好呀，能让人感觉到他身上的油污跟汗味
1449711,超级棒！！
1309050,热血
1309050,无厘头的体育类型励志片
1309050,泥水里打球的男人们，别以为那是胡闹，那真是太帅了该干什么了，决战~~给他们点颜色看看~~我们还有时间，我们能赢~~让全场响起“狂野战车”的呐喊声吧
1309050,Reebok超长广告片，不过还不错。
1309050,经典的蛋壳头～
1309050,也就这样吧。。。
1309050,打假球的前mvp，监狱，一帮在常人眼里有点怪胎的男人，一场夺回尊严的比赛，这里的尊严比自由更加重要！多么好的情境！
1309050,据说这个典狱长一角曾想让Gary来演
1309050,这是最近看过的最好的故事了。喜剧情节。
1309050,不错挺男人
1309050,平庸的剧情，看橄榄球过过瘾。
1309050,最後一句話。隨你便~
1309050,体育的很简单
1309050,很简单．还不错．
1309050,用运动精神实现在我的价值！
1309050,一气呵成，没有冷场。
1309050,美式的英雄，反叛的梦想。
1309050,可怜的chrisrock:(
1309050,很轻松
1309050,MeanMachine美国NFL版个人更喜欢VinnieJones的Soccer版
1309050,有点儿二，但总体还蛮搞笑～我依然喜欢亚当～
1309050,翻拍《最长的一码》，主角我喜欢
1309050,呵呵
1309050,最后保罗跑去捡球的时候看得我倒抽一口冷气。。。
1309050,20111129，吴中路117号，东方电影频道。
1309050,nice~
1309050,比较一般
1309050,太过讨巧的主旋律
