电影名,链接,评分,导演,作者,主演,类型,制片国家/地区,年份,出版社,出版年
奥德赛 The Odyssey,https://movie.douban.com/subject/1407148/,8.1 (2248人评价), 安德烈·康查洛夫斯基,, 阿曼德·阿山特 / 格列塔·斯卡奇 / 伊莎贝拉·罗西里尼, 剧情 / 奇幻 / 冒险, 意大利/英国/德国/希腊/美国/土耳其, 1997,,
性变态 Psychopathia Sexualis,https://movie.douban.com/subject/1916572/,5.8 (343人评价), Bret Wood,, Kristi Casey / David Weber / Zoë Cooper, 剧情, 美国, 2006,,
被遗忘的祖先的阴影 Тіні забутих предків,https://movie.douban.com/subject/1440106/,8.5 (3527人评价), 谢尔盖·帕拉杰诺夫,, Ivan Mikolajchuk / Larisa Kadochnikova / Tatyana Bestayeva, 剧情 / 历史 / 爱情, 苏联, 1964,,
遗产 L'héritage,https://movie.douban.com/subject/5361463/,6.5 (98人评价), 劳伦特·海纳曼,, 埃迪·米切尔 / 克洛伊·兰贝特 / Sébastien Thiery, 剧情 / 家庭, 法国, 2007,,
两个朋友 Deux amis,https://movie.douban.com/subject/5361458/,7.3 (59人评价), Gérard Jourd'hui,,, 剧情 / 短片, 法国, 2007,,
玛露和她的情人 Malù e l'amante,https://movie.douban.com/subject/4933725/,6.1 (452人评价), Pasquale Fanetti,, Malù / Anthony Steffen / Mack Kiran, 剧情, 意大利, 1991,,
远大前程 Great Expectations,https://movie.douban.com/subject/6731993/,6.8 (8140人评价), 迈克·内威尔,, 拉尔夫·费因斯 / 海伦娜·伯翰·卡特 / 荷丽黛·格兰杰, 剧情, 英国/美国, 2012,,
神秘岛 Mysterious Island,https://movie.douban.com/subject/1476723/,4.8 (168人评价), 拉塞尔·穆卡希,, 凯尔·麦克拉克伦 / 帕特里克·斯图尔特 / 加布里埃尔·安瓦尔, 动作 / 科幻 / 冒险, 美国/泰国/德国, 2005,,
傲慢与偏见 Pride and Prejudice,https://movie.douban.com/subject/1302868/,8.2 (14831人评价), Robert Z. Leonard,, Greer Garson / Laurence Olivier / Maureen O'Sullivan, 剧情 / 爱情, 美国, 1940,,
睡美人 La Belle endormie,https://movie.douban.com/subject/5279719/,5.6 (281人评价), 凯瑟琳·布雷亚,, Carla Besnaïnou / Julia Artamonov / David Chausse, 剧情, 法国, 2010,,
所罗门王的宝藏 King Solomon's Mines,https://movie.douban.com/subject/1940580/,6.4 (421人评价), 史蒂夫·博伊姆,, 帕特里克·斯威兹 / 艾莉森·杜迪 / 罗伊·马斯登, 动作 / 奇幻 / 冒险, 美国/德国, 2004,,
大侦探尼洛.伍尔夫与阿尔奇.古德文,https://movie.douban.com/subject/3732703/,暂无评分, 叶·塔塔尔斯基,, 多·尼奥尼斯 / 谢·日古诺夫, 犯罪 / 悬疑, 俄罗斯, 2002,,
金银岛 Treasure Island,https://movie.douban.com/subject/6104776/,6.6 (2977人评价), 斯蒂夫·巴伦,, 艾迪·伊扎德 / 托比·瑞格波 / 鲁伯特·彭利-琼斯, 冒险, 爱尔兰/英国, 2012,,
三剑客 The Musketeer,https://movie.douban.com/subject/1306253/,6.2 (315人评价), 彼得·海姆斯,, 凯瑟琳·德纳芙 / 米娜·苏瓦丽 / 蒂姆·罗斯, 动作 / 剧情 / 冒险 / 爱情, 德国/卢森堡/英国/美国, 2001,,
漂亮朋友 Bel Ami,https://movie.douban.com/subject/3264445/,5.1 (140人评价), 马克·阿尔伯格,, 哈利·雷恩斯 / 克丽丝塔·林德 / 玛丽·弗萨, Adult / 喜剧, 瑞典/法国, 1976,,
